Gender,Webcam status during class,Mic status during class,Which device do you use for online classes?,Did you face any of the following issues after the initiation of online classes?,Are you able to understand the concepts through online classes?,Which teaching methodology do you prefer?,Are you interested in attending online classes?,If you are given a choice between online classes and offline classes which one will you choose?,Comments on online classes
Female,On (All the time),On (To answer Teacher),Phone,No Issue,Yes,Black board teaching,Yes,Offline classes,
Female,On (All the time),On (To answer Teacher),Phone,No Issue,Yes,Black board teaching,Yes,Offline classes,
Female,On (All the time),On (To answer Teacher),Phone,No Issue,Yes,Black board teaching,Yes,Offline classes,
Female,On (All the time),On (To answer Teacher),Tab,No Issue,Yes,Black board teaching,Yes,Online classes,
Male,On (When teacher asks),Off (Other reason),Laptop,No Issue,Yes,Black board teaching,Yes,Offline classes,I will mute my mic because it cause disturbance and if teacher calls my name I will used to reply them
Female,On (All the time),Always On,Tab,"Eye Strain, Back pain, Headache, Stress, Other",Yes,Presentations (ppt),Yes,Online classes,None
Female,Off (Shy to switch on),Off (Do not want to reply),Tab,"Back pain, Stress, Other",Yes,Presentations (ppt),Yes,Online classes,None
Male,On (When teacher asks),On (To answer Teacher),"Tab, Laptop","Eye Strain, Back pain, Headache",No,Black board teaching,Yes,Online classes,None
Male,On (When teacher asks),Off (Do not want to reply),Laptop,"Eye Strain, Back pain, Stress",Yes,Presentations (ppt),Yes,Online classes,None
Male,Off (Shy to switch on),Off (Do not want to reply),Tab,"Eye Strain, Back pain, Headache",Yes,Presentations (ppt),Yes,Online classes,None
Male,Off (Shy to switch on),On (To answer Teacher),Computer,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,Yes,Online classes,None
Male,On (When teacher asks),On (To answer Teacher),Computer,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,Yes,Online classes,None
Male,On (All the time),Always On,Computer,Eye Strain,Yes,Black board teaching,Yes,Online classes,Okk
Male,On (All the time),Always On,Phone,Eye Strain,Yes,Black board teaching,Yes,Online classes,Good
Male,On (All the time),Always On,Phone,Back pain,Yes,Black board teaching,Yes,Online classes,Good
Male,On (When teacher asks),Always On,Phone,Eye Strain,Yes,Black board teaching,Yes,Online classes,Excellent
Male,On (All the time),Always On,Phone,Eye Strain,Yes,Black board teaching,Yes,Online classes,Good
Male,On (All the time),Always On,Tab,Eye Strain,Yes,Black board teaching,Yes,Online classes,Good
Male,On (When teacher asks),Off (Do not want to reply),Phone,"Back pain, Headache",Yes,Black board teaching,Yes,Online classes,None
Male,Off (Other reason),Off (Other reason),Phone,No Issue,Yes,Presentations (ppt),Yes,Online classes,"As per the schedule given to every student in  glearn which is used to open the zoom meeting classes. I am not able to get some to classes in schedule for the particular day 
By this issue am missing some of my classes. From 2 to 3 days iam facing this issue. "
Male,On (When teacher asks),Always On,"Phone, Tab, Laptop, Computer","Eye Strain, Back pain, Headache",Yes,Presentations (ppt),Yes,Online classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Headache, Stress",No,Black board teaching,No,Offline classes,Waste
Female,Off (Untidy appearance),On (To answer Teacher),Computer,"Back pain, Other",No,Black board teaching,Yes,Online classes,Best
Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Headache",No,Presentations (ppt),Yes,Online classes,Good
Female,On (When teacher asks),Off (Do not want to reply),Laptop,Back pain,Yes,Black board teaching,Yes,Online classes,Not good
Female,On (When teacher asks),On (To answer Teacher),Laptop,Headache,Yes,Black board teaching,Yes,Online classes,👍
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",Headache,Yes,Black board teaching,Yes,Online classes,Great
Male,On (When teacher asks),On (To answer Teacher),"Phone, Computer",Stress,Yes,Black board teaching,Yes,Online classes,
Female,On (All the time),On (To answer Teacher),"Phone, Laptop, Computer","Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),Yes,Online classes,
Male,On (When teacher asks),Always On,Tab,Stress,Yes,Black board teaching,Yes,Online classes,
Male,On (When teacher asks),On (To answer Teacher),"Phone, Tab, Laptop, Computer","Eye Strain, Back pain, Headache, Stress, Other, No Issue",Yes,Black board teaching,Yes,Online classes,5n
Male,Off (Untidy appearance),Off (Other reason),Computer,No Issue,Yes,Presentations (ppt),No,Online classes,
Male,On (When teacher asks),On (To answer Teacher),Phone,"Back pain, Headache",Yes,Black board teaching,Yes,Online classes,
Male,Off (Shy to switch on),On (To answer Teacher),Phone,Headache,Yes,Presentations (ppt),Yes,Online classes,👍
Male,On (When teacher asks),On (To answer Teacher),Computer,Headache,Yes,Black board teaching,Yes,Online classes,👍
Male,On (All the time),Always On,"Phone, Tab, Laptop",Back pain,Yes,Presentations (ppt),Yes,Online classes,
Male,On (All the time),Always On,"Phone, Tab, Laptop",Headache,Yes,Presentations (ppt),Yes,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Headache, Stress",Yes,Presentations (ppt),Yes,Offline classes,
Male,Off (No webcam available),Off (Do not want to reply),"Phone, Tab","Eye Strain, Other, No Issue",Yes,Black board teaching,Yes,Offline classes,Str
Female,Off (Untidy appearance),On (To answer Teacher),Laptop,Headache,Yes,Presentations (ppt),Yes,Online classes,
Male,Off (No webcam available),Off (No mic available),"Phone, Laptop",No Issue,Yes,Black board teaching,No,Offline classes,
Female,Off (Shy to switch on),On (To answer Teacher),Laptop,No Issue,Yes,Black board teaching,No,Offline classes,
Female,Off (Shy to switch on),Off (No mic available),Laptop,Stress,Yes,Presentations (ppt),Yes,Online classes,
Female,Off (No webcam available),Off (Do not want to reply),"Phone, Tab",Eye Strain,Yes,Presentations (ppt),Yes,Online classes,
Female,Off (Untidy appearance),Off (Do not want to reply),Tab,Stress,No,Presentations (ppt),No,Offline classes,
Male,Off (No webcam available),Off (No mic available),Computer,"Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),"Phone, Tab, Laptop","Eye Strain, Stress",Yes,Black board teaching,Yes,Online classes,
Male,On (All the time),Off (No mic available),Computer,No Issue,Yes,Presentations (ppt),Yes,Online classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),"Tab, Laptop",Eye Strain,No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,No,Black board teaching,Yes,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Headache,No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Headache,No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,No,Black board teaching,Yes,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Stress, Other",No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Headache",No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Back pain, Headache, Stress",No,Black board teaching,Yes,Offline classes,
Male,Off (Other reason),Off (Other reason),Laptop,"Eye Strain, Headache, Other",Yes,Black board teaching,Yes,Offline classes,Very good
Male,Off (Other reason),Off (Other reason),Laptop,"Eye Strain, Headache, Other",Yes,Black board teaching,Yes,Offline classes,Very good
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Headache",No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Back pain, Headache",No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Headache",No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Back pain, Headache, Stress",No,Black board teaching,Yes,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Headache",No,Black board teaching,No,Offline classes,
Female,Off (Other reason),Off (Other reason),Laptop,"Eye Strain, Headache",Yes,Black board teaching,Yes,Offline classes, Good 
Female,Off (Shy to switch on),On (To answer Teacher),Laptop,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Headache",No,Black board teaching,No,Offline classes,
Male,Off (Other reason),Off (Other reason),Laptop,"Eye Strain, Headache, Stress, Other",Yes,Black board teaching,No,Offline classes,Good
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Headache",No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Stress,No,Black board teaching,Yes,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
Female,Off (Shy to switch on),Off (Do not want to reply),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
Female,Off (Other reason),Off (Other reason),Laptop,"Eye Strain, Headache, Stress, Other",Yes,Black board teaching,Yes,Offline classes,Good
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
Female,Off (No webcam available),Off (No mic available),Phone,"Eye Strain, Headache",No,Black board teaching,Yes,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain",No,Black board teaching,No,Online classes,
Female,On (All the time),Always On,Laptop,Headache,No,Black board teaching,Yes,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,Yes,Black board teaching,Yes,Offline classes,
Male,On (All the time),Always On,Laptop,Other,No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),Off (Do not want to reply),Laptop,Back pain,No,Black board teaching,Yes,Offline classes,
Female,Off (Other reason),Off (Other reason),Laptop,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,
Male,On (All the time),Always On,Tab,"Back pain, Headache, Other",Yes,Black board teaching,No,Online classes,
Male,Off (Untidy appearance),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
Female,Off (No webcam available),Off (No mic available),"Phone, Laptop",Other,No,Black board teaching,No,Offline classes,
Female,On (All the time),Always On,Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
Female,Off (Shy to switch on),On (To answer Teacher),Tab,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Stress",No,Black board teaching,No,Offline classes,
Male,On (When teacher asks),Off (Do not want to reply),Phone,Headache,No,Black board teaching,No,Offline classes,
Female,Off (No webcam available),Off (No mic available),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
Female,Off (Untidy appearance),On (To answer Teacher),Tab,"Back pain, Headache, Other",Yes,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Phone,"Back pain, Headache, Other",No,Black board teaching,Yes,Offline classes,
Female,On (All the time),On (To answer Teacher),Tab,"Back pain, Stress",No,Black board teaching,No,Offline classes,
Female,On (All the time),Always On,Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Back pain, Headache",No,Black board teaching,Yes,Offline classes,
Female,Off (Other reason),Off (Other reason),Laptop,Other,Yes,Black board teaching,Yes,Online classes,good
Female,On (All the time),Always On,Laptop,Eye Strain,No,Black board teaching,Yes,Online classes,
Female,On (When teacher asks),Always On,Laptop,Eye Strain,No,Black board teaching,Yes,Offline classes,
Male,Off (Untidy appearance),Off (Do not want to reply),Phone,"Headache, Stress",Yes,Black board teaching,Yes,Online classes,
Female,On (All the time),Always On,Laptop,No Issue,No,Presentations (ppt),No,Online classes,Nothing
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
Male,Off (Other reason),Off (Other reason),Computer,Other,Yes,Black board teaching,Yes,Offline classes,good
Female,Off (Other reason),Off (Other reason),Computer,"Eye Strain, Back pain, Headache, Stress",Yes,Black board teaching,No,Offline classes,None
Female,On (When teacher asks),On (To answer Teacher),Computer,No Issue,Yes,Presentations (ppt),Yes,Online classes,Very effective
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,No,Black board teaching,No,Offline classes,
Male,Off (Shy to switch on),Off (Do not want to reply),Tab,"Eye Strain, Headache",Yes,Black board teaching,No,Offline classes,Not much effective
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Headache",No,Black board teaching,No,Offline classes,
Female,On (All the time),Always On,Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
Male,Off (No webcam available),Off (No mic available),Phone,"Back pain, Headache",No,Black board teaching,No,Offline classes,Waste of time
Female,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,No,Black board teaching,Yes,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
Male,On (All the time),Always On,Laptop,Back pain,No,Black board teaching,Yes,Online classes,
Female,Off (Untidy appearance),Off (Do not want to reply),Computer,"Back pain, Stress",Yes,Presentations (ppt),Yes,Online classes,Important in this pandemic situation
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
Female,On (All the time),Always On,Laptop,Headache,No,Black board teaching,No,Offline classes,
Male,On (All the time),Always On,Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes,Effective
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
Female,Off (Shy to switch on),On (To answer Teacher),Laptop,Other,No,Presentations (ppt),No,Offline classes,Useless
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
Male,Off (No webcam available),Off (No mic available),Computer,"Eye Strain, Back pain, Headache, Stress",Yes,Black board teaching,Yes,Offline classes,Necessity
Male,On (When teacher asks),On (To answer Teacher),Computer,Back pain,Yes,Black board teaching,No,Offline classes,So much pressure in my head
Female,On (All the time),Always On,Laptop,Headache,No,Black board teaching,Yes,Offline classes,
Female,Off (Shy to switch on),On (To answer Teacher),Laptop,"Back pain, Headache, Stress",Yes,Presentations (ppt),Yes,Online classes,Can't focus much
Female,On (All the time),Always On,Laptop,Back pain,Yes,Black board teaching,No,Offline classes,
Female,On (All the time),Always On,Laptop,Headache,No,Black board teaching,Yes,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),"Phone, Tab, Laptop, Computer","Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,Unable to handle much stress
Female,Off (Shy to switch on),Off (Do not want to reply),"Tab, Laptop","Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,None
Female,On (All the time),Always On,Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
Female,Off (Shy to switch on),On (To answer Teacher),Laptop,Stress,Yes,Black board teaching,Yes,Offline classes,
Female,On (All the time),Always On,Laptop,Headache,No,Black board teaching,No,Online classes,
Female,On (All the time),Always On,Laptop,Back pain,No,Black board teaching,No,Offline classes,
Female,On (All the time),Always On,Laptop,Headache,No,Black board teaching,No,Offline classes,
Male,Off (Untidy appearance),Off (No mic available),Phone,"Eye Strain, Stress",Yes,Black board teaching,No,Offline classes,
Male,Off (Untidy appearance),Off (No mic available),Phone,"Eye Strain, Stress",Yes,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Headache",No,Black board teaching,Yes,Offline classes,
Female,Off (Shy to switch on),Off (Other reason),Phone,"Eye Strain, Back pain, Headache, Stress",No,Presentations (ppt),No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress, Other",No,Presentations (ppt),Yes,Offline classes,"Why don't they pay for our internet because it is there idea to provide online instead of offline calsses. So they should pay our charges from our college fee..
No offense..
It'll be soo good though😁"
Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
Male,Off (Other reason),Off (Other reason),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
Female,Off (No webcam available),Off (No mic available),Computer,"Eye Strain, Back pain, Headache",Yes,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Other",No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Presentations (ppt),No,Offline classes,nothing
Male,On (All the time),On (To answer Teacher),Phone,No Issue,Yes,Black board teaching,Yes,Online classes,
Female,On (When teacher asks),Always On,Laptop,"Back pain, Headache, Stress",Yes,Presentations (ppt),Yes,Online classes,Good
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Other",No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,No,Black board teaching,No,Offline classes,nothing
Female,Off (Shy to switch on),On (To answer Teacher),"Phone, Laptop",No Issue,Yes,Black board teaching,Yes,Offline classes,Online classes are not much effective
Female,On (When teacher asks),On (To answer Teacher),Laptop,Headache,No,Black board teaching,No,Offline classes,nothing
Female,On (When teacher asks),On (To answer Teacher),Laptop,Stress,No,Black board teaching,Yes,Offline classes,nothing
Male,Off (Untidy appearance),Off (Do not want to reply),"Laptop, Computer","Eye Strain, Back pain, Headache, Stress, Other",Yes,Black board teaching,Yes,Online classes,Nothing
Female,On (All the time),On (To answer Teacher),Laptop,Stress,No,Black board teaching,Yes,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Stress,No,Black board teaching,No,Offline classes,nothing
Female,Off (No webcam available),Off (No mic available),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,Boring
Female,On (When teacher asks),On (To answer Teacher),Phone,Eye Strain,No,Black board teaching,Yes,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
Male,On (All the time),Always On,Laptop,Stress,No,Black board teaching,No,Offline classes,
Female,On (All the time),Always On,Laptop,Stress,No,Black board teaching,Yes,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,No,Black board teaching,Yes,Offline classes,
Female,Off (Other reason),Off (Other reason),Laptop,Headache,Yes,Black board teaching,Yes,Online classes,
Male,Off (Other reason),Off (Other reason),"Phone, Computer","Headache, Stress",No,Black board teaching,No,Offline classes,
Female,On (All the time),On (To answer Teacher),Laptop,Back pain,No,Black board teaching,No,Offline classes,
Female,On (All the time),Always On,Laptop,Other,No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),"Phone, Tab","Eye Strain, Back pain, Headache",Yes,Presentations (ppt),Yes,Online classes,Good
Female,On (When teacher asks),On (To answer Teacher),Tab,Other,No,Black board teaching,No,Offline classes,
Male,Off (Other reason),Always On,Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),Always On,Laptop,Headache,No,Black board teaching,No,Offline classes,
Female,Off (Untidy appearance),On (To answer Teacher),"Phone, Tab, Laptop, Computer",Headache,Yes,Presentations (ppt),Yes,Online classes,
Female,On (When teacher asks),Off (Do not want to reply),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
Female,Off (Shy to switch on),On (To answer Teacher),Laptop,"Eye Strain, Back pain",Yes,Presentations (ppt),Yes,Offline classes,If it's online and takes months to end this corona. I suggest you to try providing eye protection glasses. 
Female,On (When teacher asks),On (To answer Teacher),Laptop,Stress,No,Black board teaching,No,Offline classes,
Female,On (All the time),Always On,Laptop,Other,No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),Off (Do not want to reply),Computer,Eye Strain,No,Black board teaching,No,Offline classes,
Female,On (All the time),Always On,Laptop,Stress,No,Black board teaching,Yes,Offline classes,
Female,Off (No webcam available),Off (No mic available),Computer,Stress,Yes,Black board teaching,Yes,Offline classes,None
Male,On (All the time),Always On,"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),Yes,Online classes,
Female,On (When teacher asks),Always On,Laptop,Stress,No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
Female,Off (Untidy appearance),Off (Do not want to reply),"Tab, Laptop","Back pain, Headache, Stress",Yes,Black board teaching,No,Offline classes,No proper usage
Male,Off (Untidy appearance),Always On,Laptop,"Eye Strain, Stress, Other",No,Black board teaching,No,Offline classes,
Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Headache,No,Black board teaching,Yes,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
Male,On (All the time),On (To answer Teacher),"Phone, Tab, Laptop",No Issue,Yes,Presentations (ppt),Yes,Online classes,
Male,On (All the time),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Other,Yes,Presentations (ppt),No,Offline classes,
Female,On (When teacher asks),Always On,Phone,Headache,No,Black board teaching,No,Offline classes,
Male,On (All the time),On (To answer Teacher),"Phone, Laptop",No Issue,Yes,Presentations (ppt),Yes,Online classes,
Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
Male,On (All the time),On (To answer Teacher),"Phone, Laptop",No Issue,Yes,Presentations (ppt),Yes,Online classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
Male,On (All the time),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes,
Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
Male,On (All the time),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Stress,No,Black board teaching,No,Offline classes,
Male,On (All the time),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,Yes,Presentations (ppt),No,Offline classes,
Female,On (All the time),On (To answer Teacher),Laptop,Headache,No,Black board teaching,No,Offline classes,
Male,On (All the time),On (To answer Teacher),Phone,"Eye Strain, Other, No Issue",Yes,Presentations (ppt),Yes,Online classes,
Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
Male,On (All the time),On (To answer Teacher),Computer,No Issue,Yes,Presentations (ppt),Yes,Online classes,
Male,On (All the time),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,Headache,Yes,Presentations (ppt),Yes,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Stress,No,Black board teaching,No,Offline classes,
Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,Yes,Presentations (ppt),No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Headache,No,Black board teaching,Yes,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Headache",No,Black board teaching,Yes,Offline classes,Not interesting to listen
Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
Male,On (All the time),Off (No mic available),Laptop,Headache,No,Black board teaching,No,Offline classes,rubbish
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",Other,No,Black board teaching,No,Offline classes,
Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Headache, Other",No,Black board teaching,No,Offline classes,
Male,On (All the time),On (To answer Teacher),"Phone, Laptop","Eye Strain, Headache, Stress",Yes,Black board teaching,Yes,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Stress,No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Phone,Headache,No,Black board teaching,No,Offline classes,waste of time and internet nobody actually could concentrate 
Female,On (When teacher asks),On (To answer Teacher),Laptop,Stress,No,Black board teaching,No,Offline classes,
Male,Off (No webcam available),Always On,Phone,"Eye Strain, Back pain, Headache",Yes,Black board teaching,No,Offline classes,
Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
Male,Off (Shy to switch on),Off (Do not want to reply),Phone,"Eye Strain, Back pain, Headache, Stress, Other",No,Presentations (ppt),Yes,Online classes,
Female,Off (Other reason),Off (Other reason),Phone,Eye Strain,No,Black board teaching,No,Offline classes,waste
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Stress,No,Black board teaching,No,Offline classes,
Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
Male,Off (Untidy appearance),Off (No mic available),"Phone, Tab, Laptop, Computer","Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,can’t understand sometimes lecturers voice breaks continuously 
